Timestamp	Filename	Error	Message
2018-11-02 16:21:10.855 -0700	AMMcenter.fmp12	0	Import of scripts from clipboard started
2018-11-02 16:21:10.861 -0700	LOgiCATOR Scripts	0	script steps imported : 0
2018-11-02 16:21:10.890 -0700	Open LOgiCATOR ({ modifyLast; customizations.namingStyle; .fiscalYearStart; .fields })	0	script steps imported : 149
2018-11-02 16:21:10.905 -0700	on timer | LOgiCATOR | Perform Find	0	script steps imported : 135
2018-11-02 16:21:10.912 -0700	LOgiCATOR README	0	script steps imported : 98
2018-11-02 16:21:10.913 -0700	--	0	script steps imported : 0
2018-11-02 16:21:10.914 -0700	AMMcenter.fmp12	0	scripts imported : 4
2018-11-02 16:21:10.914 -0700	AMMcenter.fmp12	0	Import completed
2018-11-05 07:47:44.983 -0800	AMMcenter.fmp12	0	Import of scripts from clipboard started
2018-11-05 07:47:44.993 -0800	Modules	0	script steps imported : 0
2018-11-05 07:47:44.994 -0800	fmajax	0	script steps imported : 0
2018-11-05 07:47:45.001 -0800	fmajax.READ ME	0	script steps imported : 102
2018-11-05 07:47:45.002 -0800	Public	0	script steps imported : 0
2018-11-05 07:47:45.011 -0800	fmajax.init	0	script steps imported : 14
2018-11-05 07:47:45.013 -0800	fmajax.return_temp_path	0	script steps imported : 2
2018-11-05 07:47:45.014 -0800	fmajax.(re)load_web_viewer ( [object name] )::9::Set Variable	106	Table referred to in the calculation “Case ( 	IsEmpty ( Get ( ScriptParameter ) ) ;	Let ([		~table = "\"" & Left ( GetFieldName ( web_viewer_instances_all::filename ) ; Position ( GetFieldName ( web_viewer_instances_all::filename ) ; "::" ; 1 ; 1 ) -1 ) & "\"" ;		~object_name = "\"" & Substitute (  GetFieldName ( web_viewer_instances_all::object_name ) ; "::" ; "\".\"" ) & "\"";		~query = "SELECT " & ~object_name & " FROM " & ~table 		];		ExecuteSQL ( ~query ; "" ; "" )	) ;	Get ( ScriptParameter ))” is missing.
2018-11-05 07:47:45.016 -0800	fmajax.(re)load_web_viewer ( [object name] )::17::Set Variable	106	Table referred to in the calculation “Let ([	~table = "\"" & Left ( GetFieldName ( web_viewer_instances_all::filename ) ; Position ( GetFieldName ( web_viewer_instances_all::filename ) ; "::" ; 1 ; 1 ) -1 ) & "\"" ;	~layout = "\"" & Substitute (  GetFieldName ( web_viewer_instances_all::layout ) ; "::" ; "\".\"" ) & "\"";	~object_name = "\"" & Substitute (  GetFieldName ( web_viewer_instances_all::object_name ) ; "::" ; "\".\"" ) & "\"";	~query = "SELECT " & ~layout & " FROM " & ~table & " WHERE " & ~object_name & " = ?" 	];	ExecuteSQL ( ~query ; "¶" ; "" ; FMAjax::receiving_viewer ))” is missing.
2018-11-05 07:47:45.019 -0800	fmajax.(re)load_web_viewer ( [object name] )	0	script steps imported : 27
2018-11-05 07:47:45.021 -0800	fmajax.import_web_files ( [filename] )::12::Set Variable	106	Table referred to in the calculation “Case ( 	IsEmpty ( Get ( ScriptParameter ) ) ; 	List ( web_viewer_code_all::filename ) ; 	Get ( ScriptParameter ))” is missing.
2018-11-05 07:47:45.022 -0800	fmajax.import_web_files ( [filename] )::18::If	106	Table referred to in the calculation “web_viewer_code_selected::modifiable” is missing.
2018-11-05 07:47:45.024 -0800	fmajax.import_web_files ( [filename] )::26::Set Field	102	Field “code” missing.
2018-11-05 07:47:45.025 -0800	fmajax.import_web_files ( [filename] )	0	script steps imported : 35
2018-11-05 07:47:45.027 -0800	fmajax.set_hash ( data )::18::Set Variable	106	Table referred to in the calculation “Let ([	~table = "\"" & Left ( GetFieldName ( web_viewer_instances_all::filename ) ; Position ( GetFieldName ( web_viewer_instances_all::filename ) ; "::" ; 1 ; 1 ) -1 ) & "\"" ;	~filename = "\"" & Substitute (  GetFieldName ( web_viewer_instances_all::filename ) ; "::" ; "\".\"" ) & "\"";	~url_source = "\"" & Substitute (  GetFieldName ( web_viewer_instances_all::url_source ) ; "::" ; "\".\"" ) & "\"";	~layout = "\"" & Substitute (  GetFieldName ( web_viewer_instances_all::layout ) ; "::" ; "\".\"" ) & "\"";	~get_params = "\"" & Substitute (  GetFieldName ( web_viewer_instances_all::get_params ) ; "::" ; "\".\"" ) & "\"";	~object_name = "\"" & Substitute (  GetFieldName ( web_viewer_instances_all::object_name ) ; "::" ; "\".\"" ) & "\"";	~query = "SELECT " & ~filename &", " & ~url_source & ", " & ~layout & ", " & ~get_params & " FROM " & ~table & " WHERE " & ~object_name & " = ?" 	];	ExecuteSQL ( ~query ; "¶" ; "" ; FMAjax::receiving_viewer ))” is missing.
2018-11-05 07:47:45.033 -0800	fmajax.set_hash ( data )	0	script steps imported : 41
2018-11-05 07:47:45.036 -0800	fmajax.export_web_files ( [filename] )::10::Set Variable	106	Table referred to in the calculation “Case ( 	IsEmpty ( Get ( ScriptParameter ) ) ;	List ( web_viewer_code_all::filename ) ;	Get ( ScriptParameter ))” is missing.
2018-11-05 07:47:45.038 -0800	fmajax.export_web_files ( [filename] )::21::If	106	Table referred to in the calculation “web_viewer_code_selected::active” is missing.
2018-11-05 07:47:45.039 -0800	fmajax.export_web_files ( [filename] )::23::If	106	Table referred to in the calculation “web_viewer_code_selected::container” is missing.
2018-11-05 07:47:45.039 -0800	fmajax.export_web_files ( [filename] )::25::Export Field Contents	102	Field “container” missing.
2018-11-05 07:47:45.041 -0800	fmajax.export_web_files ( [filename] )::28::Export Records	102	Field “code” missing.
2018-11-05 07:47:45.041 -0800	fmajax.export_web_files ( [filename] )::31::Export Field Contents	102	Field “code” missing.
2018-11-05 07:47:45.042 -0800	fmajax.export_web_files ( [filename] )	0	script steps imported : 36
2018-11-05 07:47:45.047 -0800	fmajax.set_file ( data )	0	script steps imported : 30
2018-11-05 07:47:45.048 -0800	fmajax.set_receiving_viewer ( object name )	0	script steps imported : 9
2018-11-05 07:47:45.050 -0800	fmajax.set_callback ( js function name )	0	script steps imported : 9
2018-11-05 07:47:45.051 -0800	fmajax.new_code_file::12::If	106	Table referred to in the calculation “IsEmpty ( web_viewer_code_selected::filename )” is missing.
2018-11-05 07:47:45.052 -0800	fmajax.new_code_file::13::Set Field	102	Field “active” missing.
2018-11-05 07:47:45.052 -0800	fmajax.new_code_file	0	script steps imported : 18
2018-11-05 07:47:45.054 -0800	fmajax.new_web_viewer::12::If	106	Table referred to in the calculation “IsEmpty ( web_viewer_instances_selected::object_name )” is missing.
2018-11-05 07:47:45.054 -0800	fmajax.new_web_viewer::13::Set Field	102	Field “layout” missing.
2018-11-05 07:47:45.055 -0800	fmajax.new_web_viewer::14::Set Field	102	Field “layout” missing.
2018-11-05 07:47:45.056 -0800	fmajax.new_web_viewer	0	script steps imported : 20
2018-11-05 07:47:45.059 -0800	fmajax.set_dev_path	0	script steps imported : 7
2018-11-05 07:47:45.060 -0800	--	0	script steps imported : 0
2018-11-05 07:47:45.060 -0800	Private	0	script steps imported : 0
2018-11-05 07:47:45.063 -0800	fmajax.exportXSL	0	script steps imported : 13
2018-11-05 07:47:45.065 -0800	JSONEncode	0	script steps imported : 3
2018-11-05 07:47:45.066 -0800	--	0	script steps imported : 0
2018-11-05 07:47:45.066 -0800	--	0	script steps imported : 0
2018-11-05 07:47:45.067 -0800	--	0	script steps imported : 0
2018-11-05 07:47:45.068 -0800	AMMcenter.fmp12	0	scripts imported : 19
2018-11-05 07:47:45.068 -0800	AMMcenter.fmp12	0	Import completed
2018-11-05 08:04:20.433 -0800	AMMcenter.fmp12	0	Import operations started
2018-11-05 08:04:20.438 -0800	AMMcenter.fmp12	0	Import of tables from clipboard started
2018-11-05 08:04:20.440 -0800	AMMcenter.fmp12	0	Table “web_viewer_code” imported as “web_viewer_code 2” since a table or table occurrence named “web_viewer_code” already exists.
2018-11-05 08:04:20.444 -0800	AMMcenter.fmp12	0	Table “FMAjax” imported as “FMAjax 2” since a table or table occurrence named “FMAjax” already exists.
2018-11-05 08:04:20.448 -0800	AMMcenter.fmp12	0	Table “web_viewer_instances” imported as “web_viewer_instances 2” since a table or table occurrence named “web_viewer_instances” already exists.
2018-11-05 08:04:20.452 -0800	web_viewer_code 2	0	fields imported : 5
2018-11-05 08:04:20.457 -0800	FMAjax 2	0	fields imported : 11
2018-11-05 08:04:20.461 -0800	web_viewer_instances 2	0	fields imported : 6
2018-11-05 08:04:20.461 -0800	AMMcenter.fmp12	0	tables imported : 3
2018-11-05 08:04:20.462 -0800	AMMcenter.fmp12	0	Import completed
2018-11-05 08:05:48.437 -0800	AMMcenter.fmp12	0	Import operations committed
2018-11-05 08:05:48.437 -0800	AMMcenter.fmp12	0	==================================================================
2018-11-05 09:06:38.371 -0800	AMMcenter.fmp12	0	Import operations started
2018-11-05 09:06:38.375 -0800	AMMcenter.fmp12	0	Import of tables from file “FMAjax.fmp12” started
2018-11-05 09:06:38.387 -0800	FMAjax	0	fields imported : 11
2018-11-05 09:06:38.387 -0800	AMMcenter.fmp12	0	tables imported : 1
2018-11-05 09:06:38.388 -0800	AMMcenter.fmp12	0	Import completed
2018-11-05 09:06:38.392 -0800	AMMcenter.fmp12	0	Import operations committed
2018-11-05 09:06:38.392 -0800	AMMcenter.fmp12	0	==================================================================
2018-11-05 09:07:31.505 -0800	AMMcenter.fmp12	0	Import operations started
2018-11-05 09:07:31.510 -0800	AMMcenter.fmp12	0	Import of tables from file “FMAjax.fmp12” started
2018-11-05 09:07:31.518 -0800	web_viewer_code	0	fields imported : 5
2018-11-05 09:07:31.518 -0800	AMMcenter.fmp12	0	tables imported : 1
2018-11-05 09:07:31.519 -0800	AMMcenter.fmp12	0	Import completed
2018-11-05 09:07:31.522 -0800	AMMcenter.fmp12	0	Import operations committed
2018-11-05 09:07:31.523 -0800	AMMcenter.fmp12	0	==================================================================
2018-11-05 09:07:50.056 -0800	AMMcenter.fmp12	0	Import operations started
2018-11-05 09:07:50.061 -0800	AMMcenter.fmp12	0	Import of tables from file “FMAjax.fmp12” started
2018-11-05 09:07:50.069 -0800	web_viewer_instances	0	fields imported : 6
2018-11-05 09:07:50.069 -0800	AMMcenter.fmp12	0	tables imported : 1
2018-11-05 09:07:50.069 -0800	AMMcenter.fmp12	0	Import completed
2018-11-05 09:07:50.074 -0800	AMMcenter.fmp12	0	Import operations committed
2018-11-05 09:07:50.074 -0800	AMMcenter.fmp12	0	==================================================================
2018-11-05 09:27:46.955 -0800	AMMcenter.fmp12	0	Import of scripts from clipboard started
2018-11-05 09:27:46.966 -0800	Modules	0	script steps imported : 0
2018-11-05 09:27:46.967 -0800	fmajax	0	script steps imported : 0
2018-11-05 09:27:46.975 -0800	fmajax.READ ME	0	script steps imported : 102
2018-11-05 09:27:46.977 -0800	Public	0	script steps imported : 0
2018-11-05 09:27:46.980 -0800	fmajax.init	0	script steps imported : 14
2018-11-05 09:27:46.982 -0800	fmajax.return_temp_path	0	script steps imported : 2
2018-11-05 09:27:46.987 -0800	fmajax.(re)load_web_viewer ( [object name] )	0	script steps imported : 27
2018-11-05 09:27:46.995 -0800	fmajax.import_web_files ( [filename] )	0	script steps imported : 35
2018-11-05 09:27:47.003 -0800	fmajax.set_hash ( data )	0	script steps imported : 41
2018-11-05 09:27:47.010 -0800	fmajax.export_web_files ( [filename] )	0	script steps imported : 36
2018-11-05 09:27:47.015 -0800	fmajax.set_file ( data )	0	script steps imported : 30
2018-11-05 09:27:47.017 -0800	fmajax.set_receiving_viewer ( object name )	0	script steps imported : 9
2018-11-05 09:27:47.018 -0800	fmajax.set_callback ( js function name )	0	script steps imported : 9
2018-11-05 09:27:47.020 -0800	fmajax.new_code_file	0	script steps imported : 18
2018-11-05 09:27:47.023 -0800	fmajax.new_web_viewer	0	script steps imported : 20
2018-11-05 09:27:47.025 -0800	fmajax.set_dev_path	0	script steps imported : 7
2018-11-05 09:27:47.026 -0800	--	0	script steps imported : 0
2018-11-05 09:27:47.027 -0800	Private	0	script steps imported : 0
2018-11-05 09:27:47.030 -0800	fmajax.exportXSL	0	script steps imported : 13
2018-11-05 09:27:47.032 -0800	JSONEncode	0	script steps imported : 3
2018-11-05 09:27:47.033 -0800	--	0	script steps imported : 0
2018-11-05 09:27:47.033 -0800	--	0	script steps imported : 0
2018-11-05 09:27:47.034 -0800	--	0	script steps imported : 0
2018-11-05 09:27:47.034 -0800	AMMcenter.fmp12	0	scripts imported : 19
2018-11-05 09:27:47.035 -0800	AMMcenter.fmp12	0	Import completed
2018-11-05 09:40:33.648 -0800	AMMcenter.fmp12	0	Import of scripts from file “FMAjax.fmp12” started
2018-11-05 09:40:33.656 -0800	Modules	0	script steps imported : 0
2018-11-05 09:40:33.657 -0800	fmajax	0	script steps imported : 0
2018-11-05 09:40:33.667 -0800	fmajax.READ ME	0	script steps imported : 102
2018-11-05 09:40:33.671 -0800	Public	0	script steps imported : 0
